status,skip_reason,record_id,figure,term,state_code,year,title,url
skipped,duplicate_existing_record,,Mimih,Mimih,NT,2007,Indigenous Spirit and Ghost Folklore of “Settled” Australia,https://doi.org/10.1080/00155870701337346
skipped,duplicate_existing_record,,Quinkan,Quinkan,QLD,1995,"Quinkan prehistory : the archaeology of aboriginal art in S.E. Cape York Peninsula, Australia",http://ci.nii.ac.jp/ncid/BA62554377
skipped,duplicate_existing_record,,Quinkan,Quinkan,QLD,1995,"Quinkan Prehistory: The Archaeology of Aboriginal Art in S.E. Cape York Peninsula, Australia by M.J. Morwood & D.R. Hobbs (eds)",https://www.library.uq.edu.au/ojs/index.php/aa/article/download/1102/1098
skipped,duplicate_existing_record,,Quinkan,Quinkan,QLD,2023,"Glass beads in a Dillybag: a cached assemblage from a rockshelter in Quinkan Country, Cape York Peninsula, Queensland, Australia",https://doi.org/10.1080/00438243.2024.2425275
skipped,duplicate_existing_record,,Quinkan,Quinkan,QLD,2024,"CATEGORISING CATFISH, JEWFISH AND EEL MOTIFS IN LAURA (QUINKAN) ROCK ART, CAPE YORK PENINSULA, AUSTRALIA",http://dx.doi.org/10.56801/rar.v41i1.271
skipped,duplicate_existing_record,,Quinkan,Quinkan,QLD,2008,"A new species of velvet gecko (Diplodactylidae: Oedura) from north-east Queensland, Australia",https://doi.org/10.11646/zootaxa.1788.1.2
skipped,duplicate_existing_record,,Quinkan,Quinkan,QLD,2003,Dublin Core: the base for an Indigenous culture environment?,https://openalex.org/W319165098
skipped,duplicate_existing_record,,Quinkan,Quinkan,QLD,2021,"New bee species from northern Queensland, Australia (Hymenoptera: Colletidae, Halictidae, Megachilidae)",https://doi.org/10.1111/aen.12572
skipped,duplicate_existing_record,,Quinkan,Quinkan,QLD,2019,"Indigenous Rock Art Tourism in Australia: Contexts, Trajectories, and Multifaceted Realities",https://doi.org/10.3390/arts8040162
skipped,duplicate_existing_record,,Quinkan,Quinkan,QLD,1979,"Two New Species of Skinks, Genus Ctenotus (Reptilia Lacertilia, Scincidae), from Cape York Peninsula, Queensland, Australia",https://doi.org/10.2307/1563319
skipped,duplicate_existing_record,,Quinkan,Quinkan,QLD,1995,"Quinkan Prehistory: The Archaeology of Aboriginal Art in S.E. Cape York Peninsula, Australia [Book Review]",http://search.informit.com.au/fullText;dn=600914304690970;res=IELHSS
skipped,duplicate_existing_record,,Quinkan,Quinkan,QLD,2013,Ancient Art and Modern Australians: Continuity in the Laura Art System (Cape York Peninsula),https://doi.org/10.4000/palethnologie.4379
skipped,duplicate_existing_record,,Quinkan,Quinkan,QLD,2023,"Discovering the Quinkans: Adventures of a Young Geographer, Long Ago, in a Place Far Away",http://dx.doi.org/10.1353/pcg.2023.a913570
skipped,duplicate_existing_record,,Quinkan,Quinkan,QLD,2004,(re)collections: developing a metadata application profile for the Quinkan Culture Matchbox,https://researchonline.jcu.edu.au/1135/2/02whole.pdf
skipped,duplicate_existing_record,,Quinkan,Quinkan,QLD,1996,Review,https://doi.org/10.1002/j.1834-4453.1996.tb00347.x
skipped,noise:SIV,,Quinkan,Quinkan,,2025,Paraplectanoides crassipes Keyserling 1886,https://doi.org/10.5281/zenodo.20503899
skipped,duplicate_existing_record,,Quinkan,Quinkan,QLD,2007,Dr George Musgrave 1920-2006,https://www.questia.com/library/journal/1G1-169134527/dr-george-musgrave-1920-2006
skipped,duplicate_existing_record,,Quinkan,Quinkan,,2025,Paraplectanoides crassipes Keyserling 1886,http://treatment.plazi.org/id/C82BCC01FFEFF5771E523A82A0B822A9
skipped,duplicate_existing_record,,Quinkan,Quinkan,WA,2005,Percy Trezise OA 1923-2005,https://search.informit.com.au/fullText;dn=434967488264586;res=IELIND
skipped,duplicate_existing_record,,Quinkan,Quinkan,,2023,Editorial Notes,http://dx.doi.org/10.1353/pcg.2023.a913566
skipped,duplicate_existing_record,,Wandjina,Wandjina,WA,1970,"The Art of the Wandjina: Aboriginal Cave Paintings in Kimberley, Western Australia.",https://doi.org/10.2307/2798867
skipped,duplicate_existing_record,,Wandjina,Wandjina,WA,2014,"The first Australian Synchrotron powder diffraction analysis of pigment from a Wandjina motif in the Kimberley, Western Australia",https://doi.org/10.1080/03122417.2014.11681996
skipped,duplicate_existing_record,,Wandjina,Wandjina,WA,1964,THE AUSTRALIAN EVOLUTION OF THE WANDJINAS FROM RAINCLOUDS,https://doi.org/10.1002/j.1834-4461.1964.tb00259.x
skipped,duplicate_existing_record,,Wandjina,Wandjina,WA,2012,Evidence of ENSO mega‐drought triggered collapse of prehistory Aboriginal society in northwest Australia,https://doi.org/10.1029/2012gl053916
skipped,duplicate_existing_record,,Wandjina,Wandjina,WA,1988,Repainting of images on rock in Australia and the maintenance of Aboriginal culture,https://doi.org/10.1017/s0003598x00075086
skipped,duplicate_existing_record,,Wandjina,Wandjina,WA,2009,"Wandjina, graffiti and heritage: The power and politics of enduring imagery",https://doi.org/10.22459/hr.xv.02.2009.10
skipped,duplicate_existing_record,,Wandjina,Wandjina,,2007,Cosmogenic mega-tsunami in the Australia region: are they supported by Aboriginal and Maori legends?,https://doi.org/10.1144/gsl.sp.2007.273.01.16
skipped,duplicate_existing_record,,Wandjina,Wandjina,WA,2010,AMS RADIOCARBON AGES FOR BEESWAX AND CHARCOAL PIGMENTS IN NORTH KIMBERLEY ROCK ART,https://ro.uow.edu.au/scipapers/3291
skipped,duplicate_existing_record,,Wandjina,Wandjina,WA,2008,Painting and Repainting in the West Kimberley,http://hdl.handle.net/1885/31618
skipped,duplicate_existing_record,,Wandjina,Wandjina,WA,1993,Images of Power: Aboriginal Art of the Kimberley,http://ci.nii.ac.jp/ncid/BA28259126
skipped,duplicate_existing_record,,Wandjina,Wandjina,WA,2008,PATTERNS OF EVOLUTION AND EXTINCTION IN THE LAST HARPETID TRILOBITES DURING THE LATE DEVONIAN (FRASNIAN),https://doi.org/10.1111/j.1475-4983.2008.00832.x
skipped,duplicate_existing_record,,Wandjina,Wandjina,WA,2017,Visiting Gonjorong’s Cave,https://doi.org/10.1093/oxfordhb/9780190607357.013.16
skipped,duplicate_existing_record,,Wandjina,Wandjina,WA,2020,Evaluating human responses to ENSO driven climate change during the Holocene in northwest Australia through macrobotanical analyses,https://doi.org/10.1177/0959683620950410
skipped,duplicate_existing_record,,Wandjina,Wandjina,,2017,From Pessimism to Collaboration: The German Frobenius-Expedition (1938–1939) to Australia and the representation of Kimberley art and rock art,http://dx.doi.org/10.70460/jpa.v8i1.216
skipped,duplicate_existing_record,,Wandjina,Wandjina,,2009,River and coast : regionality in North Kimberley rock art,http://etheses.dur.ac.uk/2540/
skipped,duplicate_existing_record,,Wandjina,Wandjina,,2017,From pessimism to collaboration: The impact of the German Frobenius-Expedition (1938-1939) on the perception of Kimberley art and rock art,https://research-repository.uwa.edu.au/en/publications/63a647b3-9f58-4489-90e1-4341b6e9c2fd
skipped,duplicate_existing_record,,Wandjina,Wandjina,,2003,Tradition or invention: Remembering and reviving meaning of places,http://openarchive.icomos.org/id/eprint/496/
skipped,duplicate_existing_record,,Wandjina,Wandjina,WA,1972,"Archeology: <i>The Art of the Wandjina: Aboriginal Cave Paintings in Kimberley, Western Australia.</i> I. M. CRAWFORD",https://doi.org/10.1525/aa.1972.74.1-2.02a01000
skipped,duplicate_existing_record,,Wandjina,Wandjina,WA,2014,Joseph Bradshaw's 'Lost' Watercolours Found,https://www.questia.com/library/journal/1P3-3432886801/joseph-bradshaw-s-lost-watercolours-found
skipped,duplicate_existing_record,,Wandjina,Wandjina,WA,1970,"The Art of the Wandjina: Aboriginal Cave Paintings in Kimberley, Western Australia. By I. M. Crawford. 10 × 7½. Pp. 144 + 129 photographs (46 in full colour), line drawings, and maps. Melbourne: Oxford University Press, 1968. $A. 6.00. U.K. price £3. 9<i>s</i>. (£3.45).",https://doi.org/10.1017/s0003581500032054
skipped,duplicate_existing_record,,Wandjina,Wandjina,WA,2023,Les elevés des Wandjina de George Grey. De L’art Aborigène à L'art primitif (1838–1906),https://doi.org/10.4467/00786500.org.23.005.18782
skipped,duplicate_existing_record,,Wandjina,Wandjina,WA,2013,The Gwion or Bradshaw Art Style of Australia’s Kimberley Region is undoubtedly among the Earliest Rock Art in the Country – but is it Pleistocene?,http://dx.doi.org/10.4000/palethnologie.4337
skipped,duplicate_existing_record,,Wandjina,Wandjina,WA,2026,The Image in Deep Time,https://doi.org/10.1163/18757405-03801005
skipped,duplicate_existing_record,,Wandjina,Wandjina,WA,2008,Aboriginal art and identity,https://openalex.org/W342358446
skipped,duplicate_existing_record,,Wandjina,Wandjina,,2017,A Submission on Indigenous Intellectual Property to the House of Representatives Standing Committee on Indigenous Affairs and the Museums Galleries Australia - Indigenous Roadmap Project,https://eprints.qut.edu.au/114290/30/114290a.pdf
skipped,duplicate_existing_record,,Wandjina,Wandjina,WA,1968,Book reviews,https://doi.org/10.1080/00664677.1968.9967228
skipped,duplicate_existing_record,,Nargun,Nargun,VIC,1997,"A revision of Australian Mesozoic and Cenozoic lungfish of the family Neoceratodontidae (Osteichthyes:Dipnoi), with a description of four new species",https://doi.org/10.1017/s0022336000040166
skipped,duplicate_existing_record,,Nargun,Nargun,,2006,"A revision of the Australian humicolous and hygropetric water beetle genus Tympanogaster Perkins, and comparative morphology of the Meropathina (Coleoptera: Hydraenidae)",https://doi.org/10.11646/zootaxa.1346.1.1
skipped,duplicate_existing_record,,Nargun,Nargun,VIC,1989,"Series as Epic: Patricia Wrightson's ""The Book of Wirrun""",https://doi.org/10.1353/chq.0.0722
skipped,duplicate_existing_record,,Nargun,Nargun,VIC,2010,Obituary: Patricia Wrightson (1921-2010): Australian Synthesiser of Settler and Indigenous Lore,https://hdl.handle.net/1959.11/8719
skipped,duplicate_existing_record,,Nargun,Nargun,VIC,1997,Introduction,https://doi.org/10.1353/chq.0.1077
skipped,duplicate_existing_record,,Yara-ma-yha-who,Yara-ma-yha-who,,2022,"The Yara-ma-yha-who, “Real” Vampires, and Aboriginal Erasure",https://doi.org/10.5040/9781666991345-ch.004
skipped,duplicate_existing_record,,Yara-ma-yha-who,Yara-ma-yha-who,,2014,Writing Indigenous Vampires: Aboriginal Gothic or Aboriginal Fantastic?,https://doi.org/10.5204/mcj.834
skipped,duplicate_existing_record,,Pangkarlangu,Pangkarlangu,NT,2020,Monster Mash: What Happens When Aboriginal Monsters Are Co-opted into the Mainstream?,https://doi.org/10.4324/9781003086130-6
skipped,duplicate_existing_record,,Pangkarlangu,Pangkarlangu,NT,2020,Monsters,https://doi.org/10.3726/b14677
skipped,duplicate_existing_record,,Yowie,Yowie,NT,2007,Indigenous Spirit and Ghost Folklore of “Settled” Australia,https://doi.org/10.1080/00155870701337346
skipped,duplicate_existing_record,,Yowie,Yowie,,2015,Spatial distribution of heavy metal contaminations in Yowie Bay sediments and their environmental impacts,https://doi.org/10.2495/wrm150311
skipped,duplicate_existing_record,,Yowie,Yowie,,2012,Can't tell a yahoo from a yowie,https://openalex.org/W1501775044
skipped,duplicate_existing_record,,Yowie,Yowie,,2002,"The Necessary Other, or 'When One Needs a Monster': The Return of the Australian Yowie",https://hdl.handle.net/1959.11/1787
skipped,duplicate_existing_record,,Yowie,Yowie,,2014,Batemans Bay yowie sighting an Australian first,http://www.abc.net.au/local/stories/2014/12/09/4145054.htm
skipped,duplicate_existing_record,,Yowie,Yowie,,2015,Water Resources Management VIII,https://doi.org/10.2495/wrm15
skipped,duplicate_existing_record,,Yowie,Yowie,,2022,A Journey from Wild to Textbook Data to Reproducibly Refresh the Wages Data from the National Longitudinal Survey of Youth Database,https://doi.org/10.1080/26939169.2022.2094300
skipped,duplicate_existing_record,,Yowie,Yowie,,2010,Common Director Does Not Make Companies 'Related',http://search.informit.com.au/fullText;dn=143120833848255;res=IELBUS
skipped,duplicate_existing_record,,Yowie,Yowie,,2003,Cabinets of curiosity,https://openalex.org/W160747767
