generated_at,url,http_status,title,text_length,matched_terms,lead_status,review_note,snippet
2026-06-21T13:55:48+00:00,https://portarthur.org.au/ghost-tour-off-season/,,,0,,fetch_failed,"HTTPSConnectionPool(host='portarthur.org.au', port=443): Max retries exceeded with url: /ghost-tour-off-season/ (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)')))",
2026-06-21T13:55:50+00:00,https://portarthur.org.au/ghost-tour/,200,Ghost Tour - Port Arthur Historic Site,5292,ghost;haunt;paranormal;man;convict,review_candidate,"Review for person-form narrative, location role, source publicness, and duplication before seeding.",Ghost Tour - Port Arthur Historic Site Lightwave Festival this 17th July 2026 at the Port Arthur Historic Site | Tickets on sale now Search: Submit Search site Agent Log In Buy Tickets Book restaurant Plan Plan My Visit Opening Hours Guide Talks at Port Arthur Getting Here Travelling with Kids Eat + Drink Accessibility Gift Shop Experience Port Arthur Site Entry Tours & Exhibitions Ghost Tours Picnics at Port Arthur 
2026-06-21T13:55:51+00:00,https://www.adelaidegaol.sa.gov.au/visiting-the-gaol/self-guided-adelaide-tours/ghost-sightings,,,0,,fetch_failed,"HTTPSConnectionPool(host='www.adelaidegaol.sa.gov.au', port=443): Max retries exceeded with url: /visiting-the-gaol/self-guided-adelaide-tours/ghost-sightings (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)')))",
2026-06-21T13:55:52+00:00,https://www.nationaltrust.org.au/blog/five-heritage-haunts-in-new-south-wales-that-millennials-will-love/,200,Five heritage haunts in New South Wales that Millennials will love – National Trust,5484,haunt;man,review_candidate,"Review for person-form narrative, location role, source publicness, and duplication before seeding.",Five heritage haunts in New South Wales that Millennials will love – National Trust National Trust Toggle navigation Open Search Form Select State select location National ACT NSW NT Qld SA Tas Vic WA Search for: Search National ACT NSW NT Qld SA Tas Vic WA Blog Home Five heritage haunts in New South Wales that Millennials will love Five heritage haunts in New South Wales that Millennials will love Blog NSW 30 Sep 20
2026-06-21T13:55:53+00:00,https://www.nationaltrust.org.au/event/dark-ghost-tours-afterlife-tales-of-the-hobart-convict-penitentiary/,200,Dark Ghost Tours - Afterlife Tales of the Hobart Convict Penitentiary – National Trust,3670,ghost;haunt;afterlife;paranormal;man;convict,review_candidate,"Review for person-form narrative, location role, source publicness, and duplication before seeding.",Dark Ghost Tours - Afterlife Tales of the Hobart Convict Penitentiary – National Trust National Trust Toggle navigation Open Search Form Select State Join Donate select location National ACT NSW NT Qld SA Tas Vic WA Search for: Search Visit Places What’s on Pandemonium Venue hire Heritage Festival Shop Protect Advocacy Learn Collections Education programs Get involved Membership Donate Sponsorship Volunteers Work Wit
2026-06-21T13:55:55+00:00,https://www.nationaltrust.org.au/event/ghost-what-ghosts-tour-at-old-melbourne-gaol/,200,Ghost! What Ghosts? Night Tour at Old Melbourne Gaol – National Trust,5388,ghost;haunt;man;inmate,review_candidate,"Review for person-form narrative, location role, source publicness, and duplication before seeding.",Ghost! What Ghosts? Night Tour at Old Melbourne Gaol – National Trust National Trust Toggle navigation Open Search Form Select State Join Donate select location National ACT NSW NT Qld SA Tas Vic WA Search for: Search Visit Places What’s on See & Do Stay Group Visits Venue hire Heritage Festival Shop Visitor FAQs Gift Card Protect Conserve Our work Restoration Appeals Conservation Projects Workshops & Events Save Her
2026-06-21T13:55:56+00:00,https://www.nationaltrust.org.au/event/ghosts-of-a-bygone-era/,200,Ghosts of a Bygone Era – National Trust,3495,ghost;spirit,review_candidate,"Review for person-form narrative, location role, source publicness, and duplication before seeding.",Ghosts of a Bygone Era – National Trust National Trust Toggle navigation Open Search Form Select State Join Donate select location National ACT NSW NT Qld SA Tas Vic WA Search for: Search Visit Places What’s On Venue hire Protect Appeal Application Conservation Appeals Heritage Register Learn Collections Education programs Get involved Membership Give Donate Bequests Patrons Sponsorship Volunteer Volunteer With Us Vo
2026-06-21T13:55:57+00:00,https://www.nationaltrust.org.au/event/hobart_penitentiary_paranormal_investigation/,200,Hobart Penitentiary - Paranormal Investigation – National Trust,2834,haunt;paranormal;man;convict,review_candidate,"Review for person-form narrative, location role, source publicness, and duplication before seeding.",Hobart Penitentiary - Paranormal Investigation – National Trust National Trust Toggle navigation Open Search Form Select State Join Donate select location National ACT NSW NT Qld SA Tas Vic WA Search for: Search Visit Places What’s on Pandemonium Venue hire Heritage Festival Shop Protect Advocacy Learn Collections Education programs Get involved Membership Donate Sponsorship Volunteers Work With Us About About us New
2026-06-21T13:55:58+00:00,https://www.nationaltrust.org.au/event/paranormal-nights-at-old-government-house/,200,Paranormal Nights at Old Government House – National Trust,3432,ghost;spirit;paranormal;man,review_candidate,"Review for person-form narrative, location role, source publicness, and duplication before seeding.",Paranormal Nights at Old Government House – National Trust National Trust Toggle navigation Open Search Form Select State Join Donate select location National ACT NSW NT Qld SA Tas Vic WA Search for: Search Visit Places What’s on Tours Short tours Group visits Venue hire Heritage Festival Shop Protect Advocacy Campaigns Blog Trust Register Tree Register Learn Collections Schools Archives Get involved Membership All m
2026-06-21T13:56:01+00:00,https://www.nationaltrust.org.au/explore/?content=event&event_type=ghost-tours,200,Explore – National Trust,3017,ghost;man,review_candidate,"Review for person-form narrative, location role, source publicness, and duplication before seeding.",Explore – National Trust National Trust Toggle navigation Open Search Form Select State select location National ACT NSW NT Qld SA Tas Vic WA Search for: Search National ACT NSW NT Qld SA Tas Vic WA Home Explore Explore Search for: Search Location Filter by states National ACT NSW NT Qld SA TAS VIC WA Refine by content type places Expand the taxonomy selection 20th Century Accommodation Early Colonial Galleries & Mus
