figure_id,canonical_name,cluster,tier,include_status,humanoid_degree,ontology_default,involves_indigenous_knowledge,sensitivity_notes,alias_id,alias,alias_type,search_priority,notes
10,Garkain,broader_humanoid_spirit,tier_2_strong_candidate,include_v1,humanoid_adjacent,spirit_being,1,Include only public published representations.,18,Garkain,exact,95,
12,Mamu,broader_humanoid_spirit,tier_3_boundary,include_v1,spirit_person,spirit_being,1,High noise because of organisations and place/business names; constrained queries required.,20,Mamu,noise_sensitive,35,Never search bare; use constrained boolean forms only.
6,Mimih,broader_humanoid_spirit,tier_2_strong_candidate,include_v1,spirit_person,spirit_being,1,Mimi is high noise as a personal name and business/art context; use constrained queries.,11,Mimih,exact,100,
6,Mimih,broader_humanoid_spirit,tier_2_strong_candidate,include_v1,spirit_person,spirit_being,1,Mimi is high noise as a personal name and business/art context; use constrained queries.,12,Mimi,noise_sensitive,35,Never search bare; use constrained boolean forms only.
11,Mokoi,broader_humanoid_spirit,tier_2_strong_candidate,include_v1,spirit_person,spirit_being,1,Include only public published representations.,19,Mokoi,exact,95,
9,Nargun,broader_humanoid_spirit,tier_2_strong_candidate,include_v1,humanoid_adjacent,spirit_being,1,Include only public published representations.,17,Nargun,exact,95,
13,Pangkarlangu,broader_humanoid_spirit,tier_2_strong_candidate,include_v1,giant,giant,1,Include only public published representations.,21,Pangkarlangu,exact,95,
14,Puttikan,broader_humanoid_spirit,tier_2_strong_candidate,include_v1,humanoid_adjacent,spirit_being,1,Include only public published representations.,22,Puttikan,exact,95,
7,Quinkan,broader_humanoid_spirit,tier_2_strong_candidate,include_v1,spirit_person,spirit_being,1,Restrict to public published representations and public heritage discourse.,13,Quinkan,exact,100,
7,Quinkan,broader_humanoid_spirit,tier_2_strong_candidate,include_v1,spirit_person,spirit_being,1,Restrict to public published representations and public heritage discourse.,14,Quinkin,spelling_variant,85,
8,Wandjina,broader_humanoid_spirit,tier_2_strong_candidate,include_v1,spirit_person,ancestral_being,1,Culturally sensitive; public catalogue metadata is not permission to extract restricted cultural knowledge.,15,Wandjina,exact,100,
8,Wandjina,broader_humanoid_spirit,tier_2_strong_candidate,include_v1,spirit_person,ancestral_being,1,Culturally sensitive; public catalogue metadata is not permission to extract restricted cultural knowledge.,16,Wanjina,spelling_variant,90,
5,Yara-ma-yha-who,broader_humanoid_spirit,tier_2_strong_candidate,include_v1,humanoid_adjacent,cautionary_being,1,Include only public published texts and code mediation/source voice.,9,Yara-ma-yha-who,exact,100,
5,Yara-ma-yha-who,broader_humanoid_spirit,tier_2_strong_candidate,include_v1,humanoid_adjacent,cautionary_being,1,Include only public published texts and code mediation/source voice.,10,Yara-ma-tha-who,spelling_variant,85,
31,Bula,excluded_control,excluded_control,exclude_core,non_humanoid,non_humanoid_control,1,Culturally central and non-humanoid; excluded from core searches.,39,Bula,exact,0,
27,Bunyip,excluded_control,excluded_control,control_only,non_humanoid,non_humanoid_control,1,"Use only as a non-humanoid control, not a core humanoid figure.",35,Bunyip,exact,80,
28,Drop bear,excluded_control,excluded_control,control_only,non_humanoid,satire,0,"Satirical modern folklore control, not a core humanoid figure.",36,Drop bear,exact,80,
