record_id,year,title,place_name,region,state_territory,country,latitude,longitude,location_type,verification_status,relation_type,evidence_text,confidence,notes
44,1849,"Phillip Island, Victoria 1849","Phillip Island, VIC",Phillip Island,VIC,Australia,,,locality,source_named_place_needs_geocode,reported_place,"Phillip Island, Victoria",high,AYR page title/Location field; place is source-stated and awaits geocoding if needed.
84,1870,"Braidwood, New South Wales 1870","Braidwood, NSW",Braidwood,NSW,Australia,,,locality,source_named_place_needs_geocode,reported_place,"Braidwood, New South Wales",high,AYR page title/Location field; place is source-stated and awaits geocoding if needed.
85,1923,"Charlton, New South Wales 1923","Charlton, NSW",Charlton,NSW,Australia,,,locality,source_named_place_needs_geocode,reported_place,"Charlton, New South Wales (West of Oberon).",high,AYR page title/Location field; place is source-stated and awaits geocoding if needed.
149,1932,"Charters Towers, Queensland 1932","Charters Towers, QLD",Charters Towers,QLD,Australia,,,locality,source_named_place_needs_geocode,reported_place,"Charters Towers, Queensland",high,AYR page title/Location field; place is source-stated and awaits geocoding if needed.
150,1950,"Aramara, Queensland 1950","North Aramara, QLD",North Aramara,QLD,Australia,,,locality,source_named_place_needs_geocode,reported_place,"North Aramara, Queensland",high,AYR page title/Location field; place is source-stated and awaits geocoding if needed.
86,1962,"Dungay Creek, New South Wales 1962","Dungay Creek, NSW",Dungay Creek,NSW,Australia,,,locality,source_named_place_needs_geocode,reported_place,"Dungay Creek, New South Wales",high,AYR page title/Location field; place is source-stated and awaits geocoding if needed.
87,1968,"Woy Woy, New South Wales 1968","Woy Woy, NSW",Woy Woy,NSW,Australia,,,locality,source_named_place_needs_geocode,reported_place,Woy Woy,high,AYR page title/Location field; place is source-stated and awaits geocoding if needed.
45,1970,"Sherbrooke Forest, Victoria 1970","Sherbrooke Forest, VIC",Sherbrooke Forest,VIC,Australia,,,locality,source_named_place_needs_geocode,reported_place,"Sherbrooke Forest, Victoria",high,AYR page title/Location field; place is source-stated and awaits geocoding if needed.
88,1973,"Middle Brother Mountain, New South Wales 1973","Middle Brother Mountain, NSW",Middle Brother Mountain,NSW,Australia,,,locality,source_named_place_needs_geocode,reported_place,"Middle Brother Mountain, New South Wales",high,AYR page title/Location field; place is source-stated and awaits geocoding if needed.
151,1973,"Burleigh, Queensland 1973","Burleigh, QLD",Burleigh,QLD,Australia,,,locality,source_named_place_needs_geocode,reported_place,"Burleigh, Queensland",high,AYR page title/Location field; place is source-stated and awaits geocoding if needed.
89,1975,"Katoomba, New South Wales 1975","Katoomba, NSW",Katoomba,NSW,Australia,,,locality,source_named_place_needs_geocode,reported_place,"Katoomba, New South Wales",high,AYR page title/Location field; place is source-stated and awaits geocoding if needed.
90,1977,"Bateman's Bay, New South Wales 1977","Batemans Bay, NSW",Batemans Bay,NSW,Australia,,,locality,source_named_place_needs_geocode,reported_place,"Batemans Bay, New South Wales",high,AYR page title/Location field; place is source-stated and awaits geocoding if needed.
91,1977,"Talingbo, New South Wales 1977","Talingbo, NSW",Talingbo,NSW,Australia,,,locality,source_named_place_needs_geocode,reported_place,"Talingbo, New South Wales",high,AYR page title/Location field; place is source-stated and awaits geocoding if needed.
92,1978,"Mogo, New South Wales 1978","Mogo, NSW",Mogo,NSW,Australia,,,locality,source_named_place_needs_geocode,reported_place,"Mogo, New South Wales",high,AYR page title/Location field; place is source-stated and awaits geocoding if needed.
152,1978,"Canungra, Queensland 1978","Canungra, QLD",Canungra,QLD,Australia,,,locality,source_named_place_needs_geocode,reported_place,"Canungra, Queensland",high,AYR page title/Location field; place is source-stated and awaits geocoding if needed.
153,1978,"Nerang, Queensland 1978","Nerang, QLD",Nerang,QLD,Australia,,,locality,source_named_place_needs_geocode,reported_place,"Nerang, Queensland",high,AYR page title/Location field; place is source-stated and awaits geocoding if needed.
31,1979,"Darwin (Fannie Bay), Northern Territory 1979","Darwin – Fannie Bay, NT",Darwin – Fannie Bay,NT,Australia,,,locality,source_named_place_needs_geocode,reported_place,Darwin – Fannie Bay,high,AYR page title/Location field; place is source-stated and awaits geocoding if needed.
93,1979,"Bateman's Bay, New South Wales 1979","Batemans Bay, NSW",Batemans Bay,NSW,Australia,,,locality,source_named_place_needs_geocode,reported_place,"Batemans Bay, New South Wales",high,AYR page title/Location field; place is source-stated and awaits geocoding if needed.
94,1979,"Wentworth Falls, New South Wales 1979","Wentworth Falls, NSW",Wentworth Falls,NSW,Australia,,,locality,source_named_place_needs_geocode,reported_place,"Wentworth Falls, New South Wales",high,AYR page title/Location field; place is source-stated and awaits geocoding if needed.
154,1979,"Charters Towers, Queensland 1979 (2)","Charters Towers, QLD",Charters Towers,QLD,Australia,,,locality,source_named_place_needs_geocode,reported_place,"Charters Towers, Queensland",high,AYR page title/Location field; place is source-stated and awaits geocoding if needed.
155,1979,"Mt. Isa, Queensland 1979","Mt. Isa, QLD",Mt. Isa,QLD,Australia,,,locality,source_named_place_needs_geocode,reported_place,"Mt. Isa, Queensland",high,AYR page title/Location field; place is source-stated and awaits geocoding if needed.
46,1980,"Colac, Victoria 1980","Colac, VIC",Colac,VIC,Australia,,,locality,source_named_place_needs_geocode,reported_place,"Colac, Victoria",high,AYR page title/Location field; place is source-stated and awaits geocoding if needed.
95,1980,"Coffs Harbour, New South Wales 1980","Coffs Harbour, NSW",Coffs Harbour,NSW,Australia,,,locality,source_named_place_needs_geocode,reported_place,"Coffs Harbour, New South Wales",high,AYR page title/Location field; place is source-stated and awaits geocoding if needed.
