overlay_id,source_table,source_row_id,title,target_state,target_locality,place_signal,display_label,map_display_status
maplead_d5953dc6bb783c15c693e6dc,release_lead_overlay_items,rellead_bf3494cd3b33a1442fb37b22,ACT Heritage Register ACT 1955 release patch,ACT,Yarralumla,Yarralumla,Research lead overlay,overlay_not_public_map
maplead_8accc813e62029388165ffe9,release_lead_overlay_items,rellead_1f7e6985cbc03f06f0d6a508,ACT Heritage Register ACT 1955 release patch,ACT,Yarralumla,Yarralumla,Research lead overlay,overlay_not_public_map
maplead_7d9bc530456c326f7604606c,release_lead_overlay_items,rellead_592c9205373ebd6147c89df4,National Capital Authority Heritage ACT 1955 release patch,ACT,Hall,Hall,Research lead overlay,overlay_not_public_map
maplead_4cffb114d065d000c15c2147,release_lead_overlay_items,rellead_bfca2f6df5e56ed380458ddf,National Trust ACT ACT 1955 release patch,ACT,Canberra,Canberra,Research lead overlay,overlay_not_public_map
maplead_db0304888449cd16e131fdd1,release_lead_overlay_items,rellead_f65ff36e645f0f6ab3d26b94,National Trust ACT ACT 1955 release patch,ACT,Canberra,Canberra,Research lead overlay,overlay_not_public_map
maplead_cef080e0c332a5dab2cfb441,release_lead_overlay_items,rellead_f31c704c91f82a3fbe3c9252,ACT Memory ACT 1955 release patch,ACT,Kingston,Kingston,Research lead overlay,overlay_not_public_map
maplead_171912d2f3daf9e239a41613,release_lead_overlay_items,rellead_c9cbc87cc723c81979e76084,Canberra & District Historical Society ACT 1955 release patch,ACT,Kingston,Kingston,Research lead overlay,overlay_not_public_map
maplead_3eb0ee73473f6ccca5d2a4ac,release_lead_overlay_items,rellead_e728a6a15fb1f57f495fa69d,Canberra & District Historical Society ACT 1955 release patch,ACT,Yarralumla,Yarralumla,Research lead overlay,overlay_not_public_map
maplead_114a2eaf8846e164a9eae2cb,release_lead_overlay_items,rellead_4fc8f3d89973611732648f1a,Canberra Museum and Gallery ACT 1955 release patch,ACT,Acton,Acton,Research lead overlay,overlay_not_public_map
maplead_a8308d5f9c28f6e3f951b944,release_lead_overlay_items,rellead_8abc28b6e09b7560b83191e9,Canberra Museum and Gallery ACT 1955 release patch,ACT,Acton,Acton,Research lead overlay,overlay_not_public_map
maplead_3297448488f0f6fa37fc735f,release_lead_overlay_items,rellead_b1c4baf56a8d318dd9ddbbca,ANU Archives ACT 1955 release patch,ACT,Canberra,Canberra,Research lead overlay,overlay_not_public_map
