record_id,external_id,source_book,section_title,current_narrative_type,current_source_label,explicit_supernatural_agent,explicit_humanoid_person_form_evidence_excerpt,supernatural_humanoid_focal_narrative_subject,eligibility_decision,corrected_source_label,corrected_humanoid_basis,corrected_narrative_type,review_note
1177,pga:0607141h:prelude-a-princess,Australian Legends,PRELUDE. A PRINCESS,traditional_narrative,PRELUDE. A PRINCESS,none,"Introductory provenance and collection context, not a story-unit supernatural humanoid.",no,exclude_from_public_corpus,,no_supernatural_humanoid_agent,descriptive_belief_record,"Prelude is collection framing, not a first-class narrative record."
1178,pga:0607141h:why-the-turtle-has-no-tail,Australian Legends,WHY THE TURTLE HAS NO TAIL,spirit_person_narrative,ghost/spirit,departed spirits,spirits of departed people travel along the Milky Way track.,no,humanoid_adjacent_context,unnamed_spirit_person,departed_spirit_person_context_not_focal,spirit_person_narrative,"Spirit-person cosmology is present, but the section is primarily an animal-origin turtle story."
1179,pga:0607141h:how-the-waratah-got-its-honey,Australian Legends,HOW THE WARATAH GOT ITS HONEY,traditional_narrative,HOW THE WARATAH GOT ITS HONEY,Krubi,Krubi is described as a girl who became a waratah.,no,traditional_context_only,Krubi,human_transformation_to_plant_context,traditional_narrative,Transformation is plant-origin context; no focal supernatural humanoid agent.
1180,pga:0607141h:what-the-moon-is,Australian Legends,WHAT THE MOON IS,spirit_person_narrative,ghost/spirit,Bunyip,A Bunyip visits the Murray-side camp in the moon-origin story.,no,traditional_context_only,Bunyip,non_humanoid_cosmological_context,traditional_narrative,Cosmological story; Bunyip is not treated as a humanoid subject here.
1181,pga:0607141h:the-dianella-berry,Australian Legends,THE DIANELLA BERRY,traditional_narrative,THE DIANELLA BERRY,spirit of the woman,The woman/spirit is associated with the dianella rush.,no,humanoid_adjacent_context,unnamed_spirit_person,transformed_woman_spirit_context,spirit_person_narrative,"Person-form transformation/spirit context exists, but the focal outcome is plant-origin."
1182,pga:0607141h:at-low-tide,Australian Legends,AT LOW TIDE,spirit_person_narrative,ghost/spirit,great white spirit,A man is taken by a great white spirit to another realm.,yes,core_supernatural_humanoid_narrative,great white spirit,explicit_spirit_person_agent,spirit_person_narrative,Supernatural person-form agent is substantive and drives the narrative frame.
1183,pga:0607141h:shooting-stars,Australian Legends,SHOOTING STARS,traditional_narrative,SHOOTING STARS,ancestor king,A great king becomes part of a shooting-star explanation.,no,traditional_context_only,unnamed_ancestor_king,ordinary_human_celestial_transformation_context,traditional_narrative,Celestial-origin material with ordinary human figure; no anomalous person-form agent is focal.
1184,pga:0607141h:a-star-legend,Australian Legends,A STAR LEGEND,traditional_narrative,A STAR LEGEND,Great Spirit,The text mentions a sacred place where the Great Spirit could be communed with.,no,humanoid_adjacent_context,Great Spirit,great_spirit_context_not_focal,spirit_person_narrative,Great Spirit is contextual; the section is principally a Pleiades/star narrative.
1185,pga:0607141h:mist-and-a-fringe-flower,Australian Legends,MIST AND A FRINGE FLOWER,traditional_narrative,MIST AND A FRINGE FLOWER,returning departed people,Departed people return to earth in human form.,yes,core_supernatural_humanoid_narrative,unnamed_spirit_person,explicit_returning_spirit_person,spirit_person_narrative,Returning human-form spirits are the focal supernatural humanoid subject.
1186,pga:0607141h:mulgani,Australian Legends,MULGANI,traditional_narrative,MULGANI,none,The section describes a type story of people and custom rather than a named entity.,no,traditional_context_only,,ordinary_human_customary_context,descriptive_belief_record,"Relevant cultural context, but no supernatural humanoid focal agent."
1187,pga:0607141h:the-legend-of-the-pleiades,Australian Legends,THE LEGEND OF THE PLEIADES,traditional_narrative,THE LEGEND OF THE PLEIADES,Yunguipan and Pleiades figures,Human figures are placed among the stars after the narrative.,no,humanoid_adjacent_context,Yunguipan,celestial_transformation_context,traditional_narrative,Celestial-origin story with transformed humans; not a first-class supernatural humanoid record.
1188,pga:e00021:bahloo-the-moon-and-the-daens,Australian Legendary Tales,Bahloo the Moon and the Daens,spirit_person_narrative,Bahloo,Bahloo,"Bahloo the moon looks down, speaks, and acts upon earth people.",yes,core_supernatural_humanoid_narrative,Bahloo,explicit_nonordinary_person_form_agent,spirit_person_narrative,Named nonordinary moon being is focal and person-acting.
1189,pga:e00021:the-origin-of-the-narran-lake,Australian Legendary Tales,The Origin of the Narran Lake,spirit_person_narrative,Byamee,Byamee,Old Byamee directs his wives and shapes the Narran landscape.,yes,core_supernatural_humanoid_narrative,Byamee,explicit_ancestral_spirit_person_agent,spirit_person_narrative,Named ancestral/culture-hero figure is focal.
1190,pga:e00021:the-mayamah,Australian Legendary Tales,The Mayamah,spirit_person_narrative,Mayamah,Mayamah,Enemies and camp objects are turned to patterned stones.,no,traditional_context_only,Mayamah,stone_transformation_context_not_humanoid,traditional_narrative,Transformation-to-stone place tradition; no focal humanoid supernatural being.
1191,pga:e00021:mullyangah-the-morning-star,Australian Legendary Tales,Mullyangah the Morning Star,giant_or_ogre_narrative,Mullyangah,Mullyan,Mullyan is an eagle hawk cannibal figure.,no,non_humanoid_narrative,Mullyan,non_humanoid_animal_person_narrative,traditional_narrative,Animal-form cannibal/origin narrative; excluded from public humanoid corpus count.
1192,pga:e00021:mooregoo-the-mopoke-and-bahloo-the-moon,Australian Legendary Tales,"Mooregoo the Mopoke, and Bahloo the Moon",spirit_person_narrative,Mooregoo,Bahloo,Bahloo the moon comes to camp and asks for a rug.,yes,core_supernatural_humanoid_narrative,Bahloo,explicit_nonordinary_person_form_agent,spirit_person_narrative,Bahloo is a named nonordinary person-acting focal agent.
1193,pga:e00021:ouyan-the-curlew,Australian Legendary Tales,Ouyan the Curlew,traditional_narrative,Ouyan,Ouyan,Ouyan is framed as the curlew in an animal-person hunting tale.,no,non_humanoid_narrative,Ouyan,non_humanoid_animal_person_narrative,traditional_narrative,Animal-form narrative; excluded from public humanoid corpus count.
1194,pga:e00021:goonur-the-woman-doctor,Australian Legendary Tales,"Goonur, the Woman-Doctor",traditional_narrative,Goonur,Goonur,Goonur restores life through her doctor knowledge.,no,humanoid_adjacent_context,Goonur,supernatural_practitioner_humanoid_adjacent,spirit_person_narrative,"A nonordinary human practitioner appears, but the row is retained as adjacent context rather than core."
1195,pga:e00021:deereeree-the-wagtail-and-the-rainbow,Australian Legendary Tales,"Deereeree the Wagtail, and the Rainbow",traditional_narrative,Deereeree,Deereeree,Deereeree is a wagtail figure in an animal/rainbow story.,no,non_humanoid_narrative,Deereeree,non_humanoid_animal_person_narrative,traditional_narrative,Animal-form narrative; excluded from public humanoid corpus count.
1196,pga:e00021:bougoodoogahdah-the-rain-bird,Australian Legendary Tales,Bougoodoogahdah the Rain Bird,traditional_narrative,Bougoodoogahdah,Bougoodoogahdah,An old woman lives with dingoes and obtains human flesh.,no,traditional_context_only,Bougoodoogahdah,cannibal_old_woman_context_not_supernatural,traditional_narrative,Ogre-like but not clearly supernatural/anomalous; retained as context.
1197,pga:e00021:the-borah-of-byamee,Australian Legendary Tales,The Borah of Byamee,spirit_person_narrative,Byamee,Byamee,Byamee is a great Wirreenun and invisible spirits assist the borah.,yes,core_supernatural_humanoid_narrative,Byamee,explicit_ancestral_spirit_person_agent,spirit_person_narrative,Named ancestral/culture-hero figure and spirit helpers are substantive.
1198,pga:e00021:deegeenboyah-the-soldier-bird,Australian Legendary Tales,Deegeenboyah the Soldier-bird,traditional_narrative,Deegeenboyah,Deegeenboyah,Deegeenboyah is an old man in a bird-origin story.,no,traditional_context_only,Deegeenboyah,ordinary_to_animal_context_not_humanoid,traditional_narrative,"Traditional context with transformation/origin framing, not a supernatural humanoid subject."
1199,pga:e00021:wayarnbeh-the-turtle,Australian Legendary Tales,Wayarnbeh the Turtle,traditional_narrative,Wayarnbeh,Wayarnbeh,A transformed figure appears as a turtle-like creature.,no,non_humanoid_narrative,Wayarnbeh,non_humanoid_animal_transformation_narrative,traditional_narrative,Animal-origin/transformation narrative; excluded from public humanoid corpus count.
1200,pga:e00021:wirreenun-the-rainmaker,Australian Legendary Tales,Wirreenun the Rainmaker,spirit_person_narrative,Wirreenun,Wirreenun,The Wirreenun is invoked as one who can make rain fall.,yes,core_supernatural_humanoid_narrative,Wirreenun,explicit_supernatural_practitioner_agent,spirit_person_narrative,Nonordinary person-form rainmaker is the focal agent.
1201,pga:1900611h:beereeun-the-mirage-maker,More Australian Legendary Tales,Beereeun the Mirage Maker,spirit_person_narrative,Beereeun,Beereeun,Beereeun is called a great wirreenun who can harm others.,no,humanoid_adjacent_context,Beereeun,animal_form_wirreenun_adjacent,spirit_person_narrative,"Supernatural power is present, but the named figure is animal-form; retained as adjacent context."
1202,pga:1900611h:gheeger-gheeger-the-cold-west-wind,More Australian Legendary Tales,Gheeger Gheeger the Cold West Wind,giant_or_ogre_narrative,Gheeger Gheeger,Wahn,Wahn sends his dream spirit to discover the trap.,no,humanoid_adjacent_context,Wahn,animal_form_wirreenun_dream_spirit_context,spirit_person_narrative,Wirreenun/dream-spirit material is adjacent; focal figures are animal-form.
1203,pga:1900611h:bilber-and-mayrah,More Australian Legendary Tales,Bilber and Mayrah,traditional_narrative,Bilber and Mayrah,Mayrah,Mayrah the wind is invisible but converses as Bilber’s mate.,no,humanoid_adjacent_context,Mayrah,invisible_nonordinary_companion_context,spirit_person_narrative,Invisible companion is supernatural-adjacent but not clearly humanoid/person-form as a first-class agent.
