schema_version,candidate_id,run_id,candidate_status,source_name,source_type,source_tier,title,publication_or_organisation,publication_date_text,url,canonical_url,external_id,narrative_type,secondary_role,australian_relation,humanoid_basis,source_label,location_text,location_role,ethics_review_status,cultural_sensitivity,acceptance_decision,rejection_reason,evidence_summary,raw_metadata_json,created_at,updated_at,latitude,longitude,location_precision,geocode_source,geocode_verification_status,coordinate_evidence_note,duplicate_check_status,quality_class,access_date,publicness_status,rights_access_status
2.0.0,1,v2_collection_batch_001,lead_only,Trove,trove_public_search,A,"Trove public query: ""Yahoo-devil devil""",National Library of Australia / Trove,,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yahoo-devil+devil%22,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yahoo-devil+devil%22,trove-query:%22Yahoo-devil+devil%22,,unresolved_lead,query_targets_australian_public_sources,query_label_requires_article_verification,Yahoo,,uncertain_or_broad_location,not_yet_reviewed,medium,not_accepted,Trove API key not available; article-level content not verified,Generated a reproducible Trove query URL. This remains a lead until a stable article item and text are inspected.,"{""has_trove_api_key"": false, ""query"": ""\""Yahoo-devil devil\""""}",2026-06-20T02:06:34+00:00,2026-06-20T02:06:34+00:00,,,,,,,,,,,
2.0.0,2,v2_collection_batch_001,lead_only,Trove,trove_public_search,A,"Trove public query: ""Hairy Man of the Wood""",National Library of Australia / Trove,,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Hairy+Man+of+the+Wood%22,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Hairy+Man+of+the+Wood%22,trove-query:%22Hairy+Man+of+the+Wood%22,,unresolved_lead,query_targets_australian_public_sources,query_label_requires_article_verification,Hairy Man,,uncertain_or_broad_location,not_yet_reviewed,medium,not_accepted,Trove API key not available; article-level content not verified,Generated a reproducible Trove query URL. This remains a lead until a stable article item and text are inspected.,"{""has_trove_api_key"": false, ""query"": ""\""Hairy Man of the Wood\""""}",2026-06-20T02:06:34+00:00,2026-06-20T02:06:34+00:00,,,,,,,,,,,
2.0.0,3,v2_collection_batch_001,lead_only,Trove,trove_public_search,A,"Trove public query: ""Australian gorilla""",National Library of Australia / Trove,,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Australian+gorilla%22,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Australian+gorilla%22,trove-query:%22Australian+gorilla%22,,unresolved_lead,query_targets_australian_public_sources,query_label_requires_article_verification,Australian gorilla,,uncertain_or_broad_location,not_yet_reviewed,medium,not_accepted,Trove API key not available; article-level content not verified,Generated a reproducible Trove query URL. This remains a lead until a stable article item and text are inspected.,"{""has_trove_api_key"": false, ""query"": ""\""Australian gorilla\""""}",2026-06-20T02:06:34+00:00,2026-06-20T02:06:34+00:00,,,,,,,,,,,
2.0.0,4,v2_collection_batch_001,lead_only,Trove,trove_public_search,A,"Trove public query: ""Australian ape"" yowie",National Library of Australia / Trove,,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Australian+ape%22+yowie,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Australian+ape%22+yowie,trove-query:%22Australian+ape%22+yowie,,unresolved_lead,query_targets_australian_public_sources,query_label_requires_article_verification,Australian ape,,uncertain_or_broad_location,not_yet_reviewed,medium,not_accepted,Trove API key not available; article-level content not verified,Generated a reproducible Trove query URL. This remains a lead until a stable article item and text are inspected.,"{""has_trove_api_key"": false, ""query"": ""\""Australian ape\"" yowie""}",2026-06-20T02:06:34+00:00,2026-06-20T02:06:34+00:00,,,,,,,,,,,
2.0.0,5,v2_collection_batch_001,lead_only,Trove,trove_public_search,A,"Trove public query: ""Yara-ma-yha-who""",National Library of Australia / Trove,,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yara-ma-yha-who%22,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yara-ma-yha-who%22,trove-query:%22Yara-ma-yha-who%22,,unresolved_lead,query_targets_australian_public_sources,query_label_requires_article_verification,Yara-ma-yha-who,,uncertain_or_broad_location,not_yet_reviewed,medium,not_accepted,Trove API key not available; article-level content not verified,Generated a reproducible Trove query URL. This remains a lead until a stable article item and text are inspected.,"{""has_trove_api_key"": false, ""query"": ""\""Yara-ma-yha-who\""""}",2026-06-20T02:06:34+00:00,2026-06-20T02:06:34+00:00,,,,,,,,,,,
2.0.0,6,v2_collection_batch_001,lead_only,Trove,trove_public_search,A,Trove public query: Quinkan Queensland,National Library of Australia / Trove,,https://trove.nla.gov.au/search/category/newspapers?keyword=Quinkan+Queensland,https://trove.nla.gov.au/search/category/newspapers?keyword=Quinkan+Queensland,trove-query:Quinkan+Queensland,,unresolved_lead,query_targets_australian_public_sources,query_label_requires_article_verification,Quinkan,,uncertain_or_broad_location,not_yet_reviewed,medium,not_accepted,Trove API key not available; article-level content not verified,Generated a reproducible Trove query URL. This remains a lead until a stable article item and text are inspected.,"{""has_trove_api_key"": false, ""query"": ""Quinkan Queensland""}",2026-06-20T02:06:34+00:00,2026-06-20T02:06:34+00:00,,,,,,,,,,,
2.0.0,7,v2_collection_batch_001,lead_only,Trove,trove_public_search,A,Trove public query: Nargun Gippsland,National Library of Australia / Trove,,https://trove.nla.gov.au/search/category/newspapers?keyword=Nargun+Gippsland,https://trove.nla.gov.au/search/category/newspapers?keyword=Nargun+Gippsland,trove-query:Nargun+Gippsland,,unresolved_lead,query_targets_australian_public_sources,query_label_requires_article_verification,Nargun,,uncertain_or_broad_location,not_yet_reviewed,medium,not_accepted,Trove API key not available; article-level content not verified,Generated a reproducible Trove query URL. This remains a lead until a stable article item and text are inspected.,"{""has_trove_api_key"": false, ""query"": ""Nargun Gippsland""}",2026-06-20T02:06:34+00:00,2026-06-20T02:06:34+00:00,,,,,,,,,,,
2.0.0,8,v2_collection_batch_001,lead_only,Trove,trove_public_search,A,Trove public query: Mimih Arnhem,National Library of Australia / Trove,,https://trove.nla.gov.au/search/category/newspapers?keyword=Mimih+Arnhem,https://trove.nla.gov.au/search/category/newspapers?keyword=Mimih+Arnhem,trove-query:Mimih+Arnhem,,unresolved_lead,query_targets_australian_public_sources,query_label_requires_article_verification,Mimih,,uncertain_or_broad_location,not_yet_reviewed,medium,not_accepted,Trove API key not available; article-level content not verified,Generated a reproducible Trove query URL. This remains a lead until a stable article item and text are inspected.,"{""has_trove_api_key"": false, ""query"": ""Mimih Arnhem""}",2026-06-20T02:06:34+00:00,2026-06-20T02:06:34+00:00,,,,,,,,,,,
2.0.0,9,v2_collection_batch_001,lead_only,Trove,trove_public_search,A,Trove public query: Pangkarlangu Warlpiri,National Library of Australia / Trove,,https://trove.nla.gov.au/search/category/newspapers?keyword=Pangkarlangu+Warlpiri,https://trove.nla.gov.au/search/category/newspapers?keyword=Pangkarlangu+Warlpiri,trove-query:Pangkarlangu+Warlpiri,,unresolved_lead,query_targets_australian_public_sources,query_label_requires_article_verification,Pangkarlangu,,uncertain_or_broad_location,not_yet_reviewed,medium,not_accepted,Trove API key not available; article-level content not verified,Generated a reproducible Trove query URL. This remains a lead until a stable article item and text are inspected.,"{""has_trove_api_key"": false, ""query"": ""Pangkarlangu Warlpiri""}",2026-06-20T02:06:34+00:00,2026-06-20T02:06:34+00:00,,,,,,,,,,,
2.0.0,10,strict_geo_collection_3000_batch_001,lead_only,Trove,trove_public_search,A,"Trove public query: ""Yahoo-devil devil""",National Library of Australia / Trove,,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yahoo-devil+devil%22,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yahoo-devil+devil%22,trove-query:%22Yahoo-devil+devil%22,,unresolved_lead,query_targets_australian_public_sources,query_label_requires_article_verification,Yahoo,,uncertain_or_broad_location,not_yet_reviewed,medium,not_accepted,Trove API key not available; article-level content not verified,Generated a reproducible Trove query URL. This remains a lead until a stable article item and text are inspected.,"{""has_trove_api_key"": false, ""query"": ""\""Yahoo-devil devil\""""}",2026-06-20T05:48:42+00:00,2026-06-20T05:51:35+00:00,,,,,,,,,,,
