route_id,source_organisation,source_family,jurisdiction,status,processed,accepted,duplicates,leads,rejected,acceptance_rate,last_stop_reason,next_action
trove_api_without_key,National Library of Australia,archival_api,AU,blocked_auth,0,0,0,0,0,,Official API returned no-key response; automated use requires TROVE_API_KEY.,Wait for supplied API key or use manually exported article records.
trove_nla_article_text_endpoints,National Library of Australia,archival_html,AU,manual_only,0,0,0,0,0,,"Public probes produced bot checks, 404s, or unstable text renditions.",Do not probe alternative unauthenticated article text URLs.
openalex_crossref_current_terms,OpenAlex / Crossref,scholarly_metadata,global,low_yield,80,0,0,0,80,0.0000,Current term set produced little or no net-new substantive public narrative material.,Pause broad scholarly metadata reruns.
ayr_broad_crawl,Australian Yowie Research,private_paranormal_aggregator,AU,exhausted,985,0,900,0,85,0.0000,Broad archive/sitemap candidates are overwhelmingly already present or duplicates.,"Use only for verification, source-chain enrichment, or specific modern witness pages."
generic_institution_sitemap_scans,multiple,institutional_web,AU,low_yield,200,0,0,0,200,0.0000,"Full-site scans produced navigation, contact, charter, FAQ, and generic spirit false positives.",Replace broad scans with section-specific probes.
internet_archive_broad_ghost,Internet Archive,digitized_books,global,low_yield,100,0,0,0,100,0.0000,Broad ghost searches produced non-Australian and literary-period Victorian false positives.,Use only item-level Australian relationship filters and public OCR verification.
tourism_ghost_sites,multiple,tourism_web,AU,discovery_only,0,0,0,0,0,,Tourism pages reduce corpus credibility when used as primary evidence.,Use only for discovery and source-chain tracing.
marriner_princess_theatre_history,Marriner Group,institutional_web,VIC,productive,1,1,0,0,0,1.0000,,"Use as a model for section-specific, source-verified institutional seeds."
project_gutenberg_australia_exact_folklore,Project Gutenberg Australia,digitized_books,AU,productive,30,30,0,0,0,1.0000,,Continue exact-title book-level extraction; avoid broad global ghost searches.
internet_sacred_texts_exact_ethnography,Internet Sacred Text Archive,public_domain_transcribed_books,NT/SA,productive,20,20,0,0,0,1.0000,,Continue only exact chapter-level extraction with named supernatural/person-form entities; avoid broad site searching.
wikisource_australian_ethnography_exact_text,Wikisource,public_domain_transcribed_books,VIC/SA/NSW,productive,10,10,0,0,0,1.0000,,Continue only exact chapter-level extraction with named supernatural/person-form entities; avoid broad site searching.
sprint_ista_central_australia_exact_texts,Internet Sacred Text Archive,public_domain_transcribed_book,NT,productive,44,42,3,0,2,0.9545,,Scale productive route
sprint_ista_northern_australia_exact_texts,Internet Sacred Text Archive,public_domain_transcribed_book,NT,productive,16,16,5,0,0,1.0000,,Scale productive route
sprint_wikisource_southeast_exact_texts,Wikisource,public_domain_transcribed_book,VIC/SA/NSW,low_yield,66,63,10,0,3,0.9545,,Keep as probe/discovery route only
sprint_internet_archive_roth_queensland_exact_text,Internet Archive,repository_full_text,QLD,productive,15,15,2,0,0,1.0000,,Scale productive route
sprint_pga_australian_fairy_tales_exact_texts,Project Gutenberg Australia,public_domain_ebook,VIC/NSW,productive,36,36,3,0,0,1.0000,,Scale productive route
sprint_map_queue_geocode_verification,OpenStreetMap Nominatim,geocode_verification_queue,NSW/QLD/VIC,low_yield,87,87,0,0,0,1.0000,queue_limit_or_unverified_rows,Keep as probe/discovery route only
sprint_victorian_collections_story_probe,Victorian Collections,institutional_web,VIC,low_yield,0,0,0,0,0,,probe_error:HTTPError,Keep as probe/discovery route only
sprint_sa_history_network_directory_probe,History Trust of South Australia,community_history_directory,SA,low_yield,3,0,0,3,0,0.0000,probe_directory_or_search_page_discovery_only,Keep as probe/discovery route only
sprint_territory_stories_public_probe,Library & Archives NT,digital_repository,NT,low_yield,0,0,0,0,0,,probe_directory_or_search_page_discovery_only,Keep as probe/discovery route only
sprint_wikisource_euahlayi_exact_texts,Wikisource,public_domain_transcribed_book,NSW/QLD,productive,62,62,12,0,0,1.0000,,Scale productive route
sprint_project_gutenberg_westbury_australian_fairy_tales,Project Gutenberg,public_domain_ebook,NSW/VIC,productive,32,32,0,0,0,1.0000,,Scale productive route
sprint_project_gutenberg_robertson_australian_tales,Project Gutenberg,public_domain_ebook,QLD,productive,22,22,4,0,0,1.0000,,Scale productive route
sprint_project_gutenberg_barry_bunyip_stories,Project Gutenberg,public_domain_ebook,AU,productive,20,20,2,0,0,1.0000,,Scale productive route
sprint_internet_archive_kamilaroi_kurnai_exact_text,Internet Archive,repository_full_text,NSW/VIC,productive,28,28,6,0,0,1.0000,,Scale productive route
sprint_internet_archive_sa_folklore_manners_customs_exact_text,Internet Archive,repository_full_text,SA,productive,16,16,2,0,0,1.0000,,Scale productive route
sprint_internet_archive_native_tribes_south_australia_exact_text,Internet Archive,repository_full_text,SA,productive,21,21,1,0,0,1.0000,,Scale productive route
sprint_internet_archive_eaglehawk_crow_exact_text,Internet Archive,repository_full_text,AU,productive,26,22,7,6,1,0.8462,,Scale productive route
sprint_internet_archive_moore_wa_diary_exact_text,Internet Archive,repository_full_text,WA,productive,19,18,2,2,0,0.9474,,Scale productive route
sprint_internet_archive_dawson_victoria_exact_text,Internet Archive,repository_full_text,VIC,productive,25,25,9,0,0,1.0000,,Scale productive route
sprint_internet_archive_smyth_victoria_vol1_exact_text,Internet Archive,repository_full_text,VIC/TAS,productive,32,29,0,0,3,0.9062,,Scale productive route
sprint_internet_archive_smyth_victoria_vol2_exact_text,Internet Archive,repository_full_text,VIC/TAS,productive,30,30,4,0,0,1.0000,,Scale productive route
sprint_internet_archive_roth_tasmania_exact_text,Internet Archive,repository_full_text,TAS,productive,25,25,5,0,0,1.0000,,Scale productive route
sprint_internet_archive_beveridge_victoria_riverina_exact_text,Internet Archive,repository_full_text,VIC/NSW,productive,11,11,2,0,0,1.0000,,Scale productive route
sprint_internet_archive_fraser_nsw_exact_text,Internet Archive,repository_full_text,NSW,productive,27,27,2,0,0,1.0000,,Scale productive route
sprint_internet_archive_lumholtz_queensland_exact_text,Internet Archive,repository_full_text,QLD,productive,23,23,0,0,0,1.0000,,Scale productive route
sprint_internet_archive_lang_queensland_exact_text,Internet Archive,repository_full_text,QLD,productive,27,27,6,0,0,1.0000,,Scale productive route
sprint_internet_archive_northern_tribes_central_australia_exact_text,Internet Archive,repository_full_text,NT/SA,productive,29,29,9,0,0,1.0000,,Scale productive route
sprint_internet_archive_curr_australian_race_vol2_exact_text,Internet Archive,repository_full_text,NSW/VIC,productive,24,24,3,0,0,1.0000,,Scale productive route
sprint_internet_archive_curr_australian_race_vol3_exact_text,Internet Archive,repository_full_text,NSW/QLD,productive,27,27,3,0,0,1.0000,,Scale productive route
sprint_internet_archive_peck_australian_legends_exact_text,Internet Archive,repository_full_text,NSW,productive,21,19,6,0,2,0.9048,,Scale productive route
sprint_pga_favenc_austral_tropics_exact_text,Project Gutenberg Australia,public_domain_ebook,QLD/NT,productive,21,18,2,2,2,0.8571,,Scale productive route
sprint_pga_clarke_old_tales_young_country_exact_text,Project Gutenberg Australia,public_domain_ebook,NSW/TAS/VIC,productive,18,12,1,2,5,0.6667,,Scale productive route
